# Tycho-2 (Hog et al. 2000, VizieR I/259/tyc2) subset for the synthetic sky renderer.
# Fetched 2026-09-09 from vizier.cds.unistra.fr. Positions are ICRS/J2000 degrees, VTmag is Tycho V.
# Two kinds of coverage:
#  1. Three 4.2 deg-radius fields spanning galactic star density -- rich (300.0,+35.0),
#     medium (83.6,+22.0), sparse north galactic pole (192.86,+27.13) -- plus a band
#     RA 100..180, Dec 35..45, for tests that fix the pointing explicitly.
#  2. A complete Dec 62..78 band at all right ascensions, VTmag < 11 (~19 stars/deg^2).
#     This is what lets the simulated mount be pointed by the session's own target
#     selection at any time of day: for a mid-northern site it picks a declination
#     around 70 deg, whose right ascension then depends on the clock.
# Committed so that every render is reproducible offline.
ra_deg,dec_deg,vtmag
2.6197679,75.8552347,9.849
2.6204456,66.1698509,9.928
2.6286546,73.5745786,10.388
2.6557559,72.3561263,10.460
2.6730091,67.1460691,9.669
2.6760974,64.2433616,9.654
2.6863220,71.3011143,9.986
2.6876671,72.1242856,9.817
2.6955036,63.1729532,9.616
2.6993395,67.1752472,10.557
2.7116694,66.2707230,10.251
2.7131648,62.3219981,10.416
2.7219217,67.2567985,9.268
2.7308105,63.2287147,10.718
2.7328511,63.4099826,8.352
2.7334600,64.9631761,9.710
2.7335462,65.0158026,10.503
2.7680175,66.0791733,8.582
2.7699133,75.5271364,10.045
2.7738098,72.8096314,10.822
2.7880110,69.7810414,9.498
2.8201810,63.4445346,10.914
2.8232184,64.7604208,10.103
2.8305087,63.2233983,9.344
2.8348757,74.1320579,10.684
2.8366052,62.1859845,10.567
2.8374186,63.5066324,10.235
2.8394215,65.4658901,10.586
2.8424517,74.4845486,7.264
2.8465863,72.6927480,9.999
2.8566446,62.0508626,9.765
2.8770245,77.0787723,10.570
2.8845732,72.0587347,10.222
2.8961410,63.9344371,10.112
2.8990675,63.5498172,10.963
2.9060491,63.4431387,9.194
2.9068466,62.9211118,9.792
2.9144471,66.5092919,8.888
2.9271415,69.6557487,10.530
2.9330579,64.1051040,10.789
2.9523565,63.4145591,10.753
2.9601618,66.1263240,9.468
2.9610635,68.4803024,9.732
2.9787849,66.3526929,10.101
2.9809333,62.6778694,10.887
3.0007695,75.6776695,10.214
3.0038312,65.6048639,9.043
3.0070148,70.9600274,9.919
3.0087307,63.2339542,10.835
3.0108976,67.2605336,10.295
3.0149317,62.8138362,10.419
3.0174623,68.4252941,8.967
3.0211553,66.6001339,10.999
3.0215843,66.6505546,10.756
3.0325555,62.0944121,10.940
3.0354561,64.9928647,10.459
3.0365550,70.1479729,10.236
3.0468184,65.2720488,10.887
3.0468485,66.0013295,8.765
3.0470600,63.0626069,10.938
3.0612615,77.4441144,10.985
3.0672254,76.2021598,9.926
3.0700250,66.4890895,9.353
3.0902260,62.8927118,7.734
3.0909528,64.2035681,10.621
3.1023533,63.9227768,9.964
3.1067047,63.7238154,10.323
3.1140827,73.9605428,10.954
3.1262838,65.9616010,9.634
3.1342643,65.3922321,9.809
3.1391246,74.5764982,10.495
3.1402063,68.1556417,10.637
3.1571450,63.0309487,10.501
3.1812020,65.5452226,10.902
3.1831022,66.6861335,10.242
3.1857128,62.9358728,10.977
3.1978422,63.5892688,10.235
3.1981037,68.3304734,10.695
3.2023092,72.4649472,9.754
3.2023189,65.2846305,10.187
3.2074595,76.4376977,10.457
3.2080362,63.3390026,9.481
3.2250494,63.6702584,10.693
3.2308491,76.8628378,10.574
3.2391662,62.7374304,10.937
3.2421767,69.5902707,8.998
3.2468095,66.3220617,10.656
3.2550254,62.7280758,7.912
3.2555602,73.2856637,10.246
3.2834329,68.1725563,8.237
3.2843270,67.0213057,8.909
3.3005227,64.3493115,9.163
3.3030480,62.0408836,6.649
3.3109493,63.2144968,9.908
3.3145626,71.5158313,10.418
3.3294283,68.5416030,10.958
3.3415325,63.2448380,9.984
3.3428296,63.3752440,10.432
3.3508066,65.6134624,10.264
3.3539547,65.3452456,10.613
3.3581004,77.8229629,10.397
3.3615190,64.7862634,10.592
3.3622496,73.2507919,10.752
3.3630423,68.2482101,10.719
3.3732229,70.6992949,9.590
3.3802159,64.5416912,10.135
3.3815885,62.5151277,9.895
3.3958763,64.1648889,9.791
3.3972891,68.0583048,8.392
3.3973270,76.9346202,10.772
3.4002875,63.9833488,8.940
3.4052024,76.3531793,10.891
3.4140581,63.1702446,9.679
3.4190772,77.0363619,9.838
3.4258910,70.1151620,9.759
3.4280892,66.4637932,10.581
3.4307281,71.7307927,10.317
3.4340019,68.5013132,10.181
3.4392859,72.7193188,9.806
3.4404337,65.9637684,9.891
3.4405228,72.5528631,9.252
3.4438900,64.8648649,8.151
3.4478446,68.6333211,9.368
3.4524450,74.0871135,10.928
3.4651419,70.6938742,10.182
3.4654834,77.3438515,9.630
3.4714373,63.9219773,10.933
3.4771004,64.3188515,10.022
3.4833499,73.4624860,10.209
3.4861052,75.4028447,10.516
3.4955697,63.7419888,10.033
3.4975120,73.3632952,10.981
3.5107727,63.2115302,10.928
3.5108691,76.0269914,7.393
3.5234274,70.1627927,10.524
3.5248991,73.3909321,8.509
3.5259843,77.9076130,9.493
3.5341494,63.3921338,10.693
3.5477708,66.3234465,10.709
3.5494902,64.0457243,10.898
3.5509322,70.6652189,10.782
3.5632428,75.2104059,10.822
3.5648168,66.3424822,8.225
3.5691390,66.3909654,10.936
3.5766804,63.4355320,10.541
3.5786399,64.0996625,10.898
3.5803972,65.7109234,10.727
3.5877341,66.2043719,7.716
3.5932337,76.0221737,7.810
3.6004256,62.6619495,9.833
3.6198535,77.9763787,10.956
3.6267723,66.6508929,10.871
3.6338286,72.7791043,10.921
3.6369319,69.1949492,10.356
3.6374139,77.2144264,10.011
3.6411370,77.6981008,9.972
3.6495963,73.6496068,10.639
3.6571372,63.4055895,10.110
3.6743519,67.9974332,10.856
3.6779779,64.5661613,8.420
3.6785031,72.4129699,10.350
3.6819046,68.0796491,9.863
3.6841224,62.5436651,10.754
3.6939895,71.7263837,9.696
3.6957344,72.9769287,10.196
3.6964099,69.5759360,10.356
3.6976086,77.6467134,9.651
3.6995598,62.1962697,8.526
3.7020954,63.8881662,10.585
3.7025243,63.1181604,10.444
3.7055622,62.8404271,8.043
3.7057865,63.0180930,10.983
3.7063154,62.8355817,8.552
3.7297141,70.3605756,8.880
3.7397125,66.6250858,9.048
3.7444911,64.7742520,10.679
3.7486889,72.6434948,10.841
3.7492992,65.3948911,10.582
3.7519269,71.4382317,9.897
3.7545414,66.1139436,8.405
3.7655929,63.5458060,10.474
3.7696716,63.8439450,9.477
3.7833052,72.1163403,10.382
3.7927423,72.2184498,10.554
3.7936592,63.8216691,10.714
3.7994697,63.7436431,9.954
3.8035094,67.1570081,10.347
3.8049663,73.5759775,10.954
3.8145776,63.1304304,9.761
3.8203551,69.8959275,10.780
3.8414581,62.6962272,9.206
3.8459006,73.2949543,10.830
3.8617473,70.5714313,8.920
3.8640027,64.2751649,10.881
3.8662428,75.9045306,10.625
3.8790198,64.1487288,10.263
3.8950120,62.1105328,8.348
3.9251314,63.1747597,10.702
3.9255970,74.2719134,10.693
3.9440622,62.7505419,10.917
3.9482767,62.4078298,10.751
3.9818753,63.6058482,10.109
3.9967722,74.2806088,10.603
3.9993831,69.7535597,9.982
4.0056775,63.0943965,10.608
4.0061075,77.9903036,10.681
4.0082008,63.7130200,10.515
4.0323190,75.3581989,10.776
4.0327007,66.8230906,9.985
4.0413140,64.9763579,10.559
4.0423768,63.2179290,10.425
4.0553578,62.5383064,10.563
4.0583706,65.9646980,10.342
4.0584350,76.9508246,7.124
4.0659972,64.2121483,9.744
4.0660683,73.1582269,10.998
4.0863731,71.9309887,9.823
4.0882067,68.6408792,10.270
4.1009571,65.9543514,8.497
4.1092246,68.0560120,10.528
4.1274298,63.4892465,10.005
4.1293014,65.8257512,9.525
4.1302048,63.1297213,10.318
4.1320263,64.4137712,10.841
4.1509796,69.5236943,9.848
4.1529984,65.6424415,10.959
4.1663192,64.5584672,10.143
4.1700939,62.5518407,8.776
4.1714728,73.3380662,9.045
4.1784043,62.2869444,10.579
4.2072032,62.1562568,10.464
4.2108118,62.8989422,10.725
4.2120425,62.2371498,9.636
4.2134345,69.4761735,10.737
4.2180587,63.5703481,10.382
4.2201924,67.0477892,10.188
4.2282391,65.6334037,10.791
4.2389844,63.5529851,7.900
4.2501111,72.3608826,10.204
4.2710358,77.5957926,9.371
4.2786554,70.4241804,10.996
4.2958147,63.7435509,10.830
4.3033913,72.8189187,9.764
4.3096998,65.4742644,10.671
4.3134527,62.1085082,10.200
4.3280558,62.8258698,8.578
4.3316919,63.0606442,10.381
4.3489091,75.7921009,10.581
4.3490738,67.6176519,10.261
4.3501912,77.0204475,10.904
4.3517697,62.1094693,10.449
4.3705535,63.8330673,10.295
4.3740010,69.9243898,9.178
4.3822991,76.1454616,8.767
4.3890110,68.9367336,10.395
4.4033842,63.1514513,10.828
4.4228923,73.6375999,9.434
4.4516080,72.0166449,9.153
4.4784513,63.0287757,9.640
4.4810871,62.4604601,10.823
4.4837573,68.9191106,10.661
4.4844007,63.0157114,10.587
4.4850391,68.6624204,8.971
4.4881587,62.5370193,10.157
4.4995814,62.8918871,10.493
4.4996880,68.3446640,9.510
4.5156732,68.0411594,10.709
4.5515271,62.6113117,10.394
4.5543626,63.3437669,10.439
4.5573511,63.2153694,10.106
4.5612162,72.9467566,7.591
4.5636188,73.2168447,10.977
4.5666621,64.0152477,10.166
4.5718109,65.7290833,10.143
4.5912902,66.4729360,9.443
4.6072617,65.3299310,9.863
4.6104259,69.6917883,10.927
4.6150741,76.2765224,7.175
4.6162286,76.4784914,10.778
4.6199075,62.2027693,7.154
4.6215123,65.7222115,10.749
4.6219897,73.8243093,9.562
4.6397359,73.5960994,10.822
4.6399203,69.4184415,9.782
4.6443650,63.8466868,10.260
4.6457050,63.1212077,9.790
4.6460454,62.9737482,10.485
4.6494393,71.0911317,10.203
4.6869853,68.7809373,9.855
4.6873163,63.7827563,10.561
4.6893270,65.6696611,10.953
4.6998483,68.5001415,8.445
4.7051486,64.6085781,10.576
4.7168348,72.3196555,10.900
4.7217871,67.8202839,10.084
4.7369858,68.4218685,8.251
4.7370207,66.9995322,10.856
4.7370873,63.2882401,7.732
4.7411704,63.5719991,9.022
4.7469047,72.2322774,10.723
4.7469132,63.8846674,10.010
4.7481634,70.2632159,10.077
4.7491825,63.6645268,10.533
4.7535658,75.4040176,10.100
4.7668952,63.9256220,9.107
4.7697775,65.2204513,9.188
4.7784643,63.5891525,9.997
4.7817271,73.3565201,9.440
4.7946677,66.1469098,10.123
4.7987132,62.5092172,10.604
4.7991123,75.8231937,10.015
4.8014610,70.0494796,9.602
4.8185455,76.5829384,10.656
4.8195160,71.4463731,9.389
4.8226886,62.4933790,10.738
